track_name,artist_name
higher place,journey
"blue days, black nights",buddy holly
love me or leave me,chet baker
nice work if you can get it (take 3),thelonious monk
love,imagine dragons
the arrow killed the beast,heartless bastards
commit a crime,howlin' wolf
did you ever love a woman,b.b. king
celebrate,three dog night
drown,bring me the horizon
forbes,g-eazy
happy heart,andy williams
dark days,local natives
bell bottom blues,eric clapton
train in vain,dwight yoakam
ac-cent-tchu-ate the positive,ella fitzgerald
run to her,little eva
ain't got time to waste,aim
teen age goodnight,the chordettes
after loving you,jim reeves
drama queen (that girl),lindsay lohan
hear you me,jimmy eat world
3 peat,lil wayne
dai the flu,deftones
king of fools,will downing
building a mystery,sarah mclachlan
in the real world,roy orbison
words i couldn't say,rascal flatts
this could be us,rae sremmurd
one day in st. tropez,michael franks
no more disguise (feat. lou lou ghelichkhani),thievery corporation
we fall in love,lamb
why did you hoodoo me,savoy brown
show me (feat. chris brown),kid ink
do it for me now,angels & airwaves
san antonio rose,carl smith
hideaway,tessanne chin
swanee,judy garland
nare sugar,jj grey & mofro
anything to say you're mine,etta james
throw away your gun,roots radics
lover man (oh where can you be),blossom dearie
stuck like glue,sugarland
nine is god,wavves
feelin good,joe bonamassa
pop,*nsync
take the picture off,rjd2
to & fros,blackbird hill
fox on the run,sweet
alive,korn
you would do the same for me,ricky van shelton
local memory,willie nelson
linoleum,nofx
nobody does it better,warren g
under my thumb,social distortion
postmortem,slayer
"insane, insane again",the j. geils band
time on my hands,don williams
my girlfriend,uncle kracker
relax your mind,loon
unsung,helmet
phantom of the opera,iron maiden
shake it and break it (but don't let it fall mama),charley patton
son of slide,slave
antichrist superstar,marilyn manson
lover please,kris kristofferson
armageddon,prince far i
fly me to the moon,astrud gilberto
the seventh seal,groundation
soon,ella fitzgerald
distant lonesome train,joe bonamassa
"oh, true love",the everly brothers
the great american success story,alice cooper
big eyed fish,dave matthews band
lonely weekends,waylon jennings
wildest dreams,dolly parton
i held her in my arms,violent femmes
the edge of forever,the dream academy
that's alright,muddy waters
i take a lot of pride in what i am,merle haggard
goodbye,steve earle
separate lives,stephen bishop
somethin to dü,the replacements
"or nah (feat. the weeknd, wiz khalifa & dj mustard)",ty dolla $ign
descending,the black crowes
my greatest fear,randy travis
don't tread on me,damn yankees
three rounds and a sound,blind pilot
away rio,the kingston trio
i could fall in love,selena
evil ways,graveyard
(you make me feel like) a natural woman,céline dion
only,sublime with rome
maniac,kid cudi
good mornin' life,dean martin
the struggle discontinues,damian marley
wild life,wings
so aware,john brown's body
give me the right,elvis presley
you can't roller skate in a buffalo herd,roger miller
whenever you come around,vince gill
sweet emotion,the kooks
wait and see,iration
too good a memory,mark chesnutt
go on home,willie nelson
as the world falls down,david bowie
i need more time,the meters
better now,collective soul
close to it all,melanie
downtown tonight,tyler bryant & the shakedown
money,easy star all-stars
yours and mine,kyle park
anarchist,yungblud
primitive,the cramps
blood and roses,the smithereens
it's impossible,perry como
you were only fooling (while i was falling in love),patsy cline
child in time,deep purple
lion in the jungle,julian marley
secret messages,electric light orchestra
the old rugged cross,ray price
if you ain't lovin' (you ain't livin'),faron young
don't turn around,ace of base
everyday thugs,bone thugs-n-harmony
i wanna be,hirie
high shelf booze,eilen jewell
unicorn,bob james
self-inflicted wounds,joe bonamassa
changes,j.j. cale
swamp witch,jim stafford
straighten up and fly right,nat king cole
this joint,slightly stoopid
why can't i love you,hiroshima
walk in the night,jr. walker & the all stars
bess you is my woman now,ella fitzgerald
blood brothers,luke bryan
birks' works,ray vega
glory,jamie n commons
all the world,kansas
stones,neil diamond
i remember me,silver jews
the bells,laura nyro
young,hollywood undead
true,spandau ballet
face the fire,dan fogelberg
ænema,tool
loving you is sweeter than ever,susan tedeschi
my maker,heartless bastards
blackout,muse
everything is fair,a tribe called quest
(how will i know) i'm falling in love again,willie nelson
heart of the night,poco
"are you lonely for me, baby",al green
wicked,future
blah blah blah (feat. 3oh!3),kesha
reptile,nine inch nails
ron's place,brad mehldau
lovin' me along,head east
i want my dog to live longer (the greatest wish),curtis salgado
i stand alone,al kooper
come together in the morning,free
every little bit hurts,aretha franklin
devils got you beat,blues saraceno
it's my life,talk talk
i've been there,irma thomas
glad to be unhappy,ella fitzgerald
dream a little dream of me,ella fitzgerald
when they ring the golden bell,sister rosetta tharpe
rubber ball,bobby vee
crying,don mclean
resurrection blues,otis taylor
i'm down to my last cigarette,k.d. lang
(wish i had a) heart of stone,baillie & the boys
drop,timbaland & magoo
never give up my pride,luciano
freek'n you,jodeci
carouselambra,led zeppelin
silent night,bing crosby
comanche moon,the black angels
sweat,popa chubby
rules,pennywise
always on my mind,pet shop boys
without you (feat. sandro cavazza),avicii
love is missing from our lives,the dells
creole,charlie hunter
it ain't right,john mayall & the bluesbreakers
till the day i die,whitesnake
burning heart,vandenberg
a woman is a sometime thing,ella fitzgerald
the sky's the limit,the duprees
yesterday,bad religion
tell me why,the beatles
when i opened up my eyes,wayman tisdale
sirens of titan,al stewart
but not for me,sun ra
so cold in the summer,taylor mcferrin
silver wings,merle haggard
raise hell,(hed) p.e.
latin quarter,marc antoine
to be alone with you,bob dylan
monkey see-monkey do,michael franks
a bible and a bus ticket home,collin raye
every you every me,placebo
quicksand,david bowie
marcus say jah no dead,burning spear
preaching the blues,the gun club
"workin' hard, playin' hard",ted nugent
victim of love,whitesnake
school of dub,jah shaka
out from under,incubus
"crying, laughing, loving, lying",labi siffre
diamonds,slim thug
what it means to be alone,the dear hunter
handy,wishbone ash
blood brothers,papa roach
hey yo,311
the blackwater fever,the blackwater fever
i love you baby,black rob
stone cold heart,vern gosdin
i pity the fool,"bobby ""blue"" bland"
breaking up,alton ellis
battery kinzie,fleet foxes
second home by the sea,genesis
you are there,michael jackson
deep song,billie holiday
california king bed,rihanna
marie,yazmin lacey
born to lose,ray price
gail,alice cooper
where do i go from here,robert cray
ready for the times to get better,crystal gayle
if your heart ain't busy tonight,tanya tucker
i might have said,ronnie milsap
hand of god,jon bellion
alphabetical order,joe walsh
the healing kind,lee ann womack
too many puppies,primus
america,neil diamond
smoking jacket,miranda lambert
i've got a quarter in my pocket,gary allan
only the heart may know,dan fogelberg
in love with you,the heptones
above and beyond,don gibson
bill,oscar peterson
bread and roses,judy collins
it will be me,faith hill
dancing through sunday,afi
the crowd,roy orbison
bad blood,the flying eyes
politik,coldplay
ain't that a shame,champion jack dupree
the sniper,the black angels
mandy,rosemary clooney
diggin' my potatoes,james cotton
androgynous mind,sonic youth
what we gonna do about it,cale dodds
lies,the black keys
props-man style,mikey dread
a time for love,jane monheit
teach me tonight,diane schuur
"part time lover, full time fool",peggy scott-adams
nowhere fast,josh turner
one note samba,herbie mann
god only knows,glen campbell
la de la mala suerte,jesse & joy
lone star state of mind,don williams
i have but one heart,connie francis
maybe tonight,vince gill
when a man loves a woman,bette midler
open passageways,all them witches
elijah,culture
the cowboy rides away,george strait
"dim lights, thick smoke and loud loud music",glen glenn
strike up the band,ella fitzgerald
friday,phish
hit 'em up style (oops!),blu cantrell
there there my dear,dexys midnight runners
e.t. (extraterrestrial),outkast
talkin' 'bout love,nazareth
stuck with me,green day
gravedigger,dave matthews
kalabancoro,richard bona
goin' all out,eric darius
jimmy james,beastie boys
i'm with you,avril lavigne
multiply the heartaches,george jones
warm brew,leaf beach
ray gun,badbadnotgood
home,iration
big five,prince buster
from a jack to a king,david houston
remember then,the earls
a thousand years ago,mike pinto
follow the leader,the saints
she love,sensi trails
into each life some rain must fall,ella fitzgerald
one world (not three),the police
so you want to be a cowboy,chris ledoux
i know his blood can make me whole,blind willie johnson
what if,creed
"ready, willing and able",doris day
somebody's been drinkin',cole swindell
slide through my fingers,tame impala
the crossing,ray campi
feels so good,van halen
the queen of swing,swingrowers
in the evening by the moonlight,nina simone
the night away,night shield
diana,frankie lymon
no more tears,little river band
ocean drive,duke dumont
give her the gun,ufo
a house without love,george jones
the things we did last summer,freddie hubbard
you ain't cool,whispering lion
lay down,priestess
the good's gone,the who
masters of war,bob dylan
music city usa,bobby bare
coast of california,the kingston trio
do you feel like we do,warren haynes
impossible year,panic! at the disco
i want something more,bad religion
cry lonely,chris knight
only when i'm drunk,tha alkaholiks
seeing you this way,minnie riperton
these are the days,van morrison
funny how time slips away,willie nelson
do you know my jesus,don gibson
out of control,mobb deep
"woman, woman",gary puckett & the union gap
sick bubblegum,rob zombie
can't you just see me,aretha franklin
strike the root,thievery corporation
hello darlin',conway twitty
bend,corey smith
it's too late,marvin sease
get up stand up,bunny wailer
danny boy,johnny cash
joe cool,b.b. king
set a fire,will reagan
i love jah,the ethiopians
bo diddley is a lover,bo diddley
shattered dreams,johnny hates jazz
to wish impossible things,the cure
"sisters, o sisters",yoko ono
walking blues,brownie mcghee
ring (feat. kehlani),cardi b
i want your (hands on me),sinéad o'connor
moanin',tucka
kaleidoscope,a great big world
bill gates,lil wayne
loving you is sweeter than ever,the band
metal fatigue,allan holdsworth
china doll,george hamilton iv
when love has grown,george benson
one year of love,queen
until,cassandra wilson
circle of hands,uriah heep
i better be good,alice cooper
full moon,wailing souls
funkdafied,da brat
annie's going to sing her song,bob dylan
i'm leaving now,johnny cash
this time,jamey johnson
guess it’s all over,mndsgn
something to say,joe cocker
i ain't no saint,rory gallagher
racism,adam calhoun
senza fine,dean martin
scratch my back,the fabulous thunderbirds
the road,waylon jennings
ganges delta blues,ry cooder & v.m. bhatt
it's my job to keep punk rock elite,nofx
alumni blues (hot tuna),hot tuna
freedom fighter,black uhuru
let me call you sweetheart,bing crosby
party in hell,aaron lewis
move me,the upsetters
i don't care who knows,koko taylor
it's the talk of the town,dean martin
keep on doing it,cocoa tea
that's as close as i'll get to loving you,aaron tippin
the memory remains,metallica
caring is creepy,the shins
model citizen,alice cooper
heartbeats,josé gonzález
i can't help myself,bonnie raitt
i'll sleep when i'm dead,warren zevon
uptown dub,black uhuru
my good gal,old crow medicine show
all about tonight,blake shelton
at dizzy's,henace
swinging on a star,bing crosby
what about you,dr. hook
country air,the beach boys
i'm through with love,chuck berry
the stand,mother mother
black roses,nashville cast
i give you my word,the platters
one life to live (feat. mc eiht),pete rock
inner light spectrum,311
on my knees,dorothy
fairy tales for two,willie bobo
criminally insane,slayer
open arms,collin raye
smile away,paul mccartney
there's you,cody johnson
take the devil out of me,george jones
keeper of the flame,nina simone
bella bella bambina,dean martin
embraceable you,johnny mathis
one day i'll fly away,randy crawford
dream girl,kolohe kai
roll call,tenor saw
every time she whispers,michael franks
my religion's not old-fashioned (but it's real genuine),hank snow
hollywood swinging,jamiroquai
keep it thoro,prodigy
bring it back,travis porter
promises,maxi priest
hit,the sugarcubes
showdown,slowy
with tears in my eyes,hank williams
love is all,the tallest man on earth
willie and the hand jive,george thorogood & the destroyers
count to 3,the green
boss hoss,the sonics
today's lonely fool,tracy lawrence
homage,mild high club
kiss this,aaron tippin
summer wine,nancy sinatra
havin' fun,dion
life,doyle bramhall ii
devil may care,diana krall
killer whales,smallpools
poison was the cure,megadeth
fallin',al jarreau
i'd love you all over again,alan jackson
sticks and stones,william clark green
the fire (remains),the dear hunter
when i fall in love,johnny mathis
drift and die,puddle of mudd
sailing on,the derek trucks band
nanna,xavier rudd
how will i laugh tomorrow,suicidal tendencies
i can't change my tune,"hank williams, jr."
hole in the pumpkin,ini kamoze
best day of my life,american authors
don't walk away,no justice
take a love song,donny hathaway
poema,los hermanos arriagada
endless ways,ryan bingham
lonesome standard time,kathy mattea
hey stoopid,alice cooper
the everlasting gaze,the smashing pumpkins
supersonic,bad religion
out from under,ali campbell
who you'd be today,kenny chesney
church,t-pain
me and my boys (feat. jb and the moonshine band),the lacs
getting to the point,electric light orchestra
the creature from the black leather lagoon,the cramps
jesus walking on the water,violent femmes
nevermind,foster the people
who am i?,nina simone
miles to go,samantha fish
the beast,twisted sister
a wonderful yesterday,willie nelson
nugget,cake
you're not the one (i was looking for),blue öyster cult
what am i doing here?,the moody blues
kind of woman,stevie nicks
happy ending,mika
down on music row,dolly parton
hotel key,old dominion
one day away,buddy guy
miss alissa,eagles of death metal
down the dolce vita,peter gabriel
it's all in the game,ricky nelson
biscuit,portishead
unchained melody,the righteous brothers
an empty glass (that's the way the day ends),randy rogers band
call me star,all them witches
stand by my girl,dan auerbach
the patron saint of liars and fakes,fall out boy
that year,uncle tupelo
break from toronto,partynextdoor
crying in the chapel,the orioles
(i believe) there's nothing stronger than our love,paul anka
history of a boring town,less than jake
hate me now (feat. puff daddy),nas
sittin' in the balcony,eddie cochran
breathing,kate bush
black swan,thom yorke
welcome to hell,trace adkins
carry me back to the lone prairie,eddy arnold
wicked rebel,slightly stoopid
punani a mi best friend,vybz kartel
one mint julep,louis prima
bobby sox to stockings,frankie avalon
the rewrite,mike ryan
the difference between a woman and a man,josh turner
"ego trippin' (12"" version)",ultramagnetic mc's
frogs,alice in chains
settled down like rain,the jayhawks
dreaming my dreams with you,waylon jennings
old time feelin',humble pie
another empty bottle,katy mcallister
the walls of a prison,johnny cash
landslide,stevie nicks
do you really want me,kofi
foxtrot uniform charlie kilo,bloodhound gang
act of affection,wailing souls
trouble ain't far behind,gary moore
el hombre del equipo,grupo maximo grado
jussummen,das efx
us,regina spektor
old rock 'n roller,the charlie daniels band
no more tears,lesley gore
greenwich village folk song salesman,nancy sinatra
be mine (tonight) (feat. grady tate),"grover washington, jr."
it's the same old song,four tops
alone together,judy garland
kick down,long beach dub allstars
all the time,bahamas
besame mucho (kiss me),vera lynn
carrie brown,steve earle
weep themselves to sleep,jack white
herbalist,mungo's hi fi
london dungeon,misfits
buss up barriers,morgan heritage
poor boy long ways from home,bukka white
the world connects,don philippe
make it with you,dennis brown
eden,tesseract
shame shame shame,ratt
married to the blues,shemekia copeland
i'm free,merle haggard
lookin' for a home,al kooper
use your heart,swv
i keep putting off getting over you,don williams
shoot me down,lil wayne
my love is shared,death from above 1979
sack full of dreams,donny hathaway
early prayers,tomorrows bad seeds
waterfall,jimmy cliff
now 'til forever,kirk whalum
that heart belongs to me,george jones
how many drinks?,miguel
how's the radio know,aaron tippin
sans toi,michel legrand
my uncle used to love me but she died,roger miller
you can count on me,boney james
change,carrie underwood
this is god,phil vassar
gotta find my baby,the ravens
blue turning grey over you,louis armstrong
suffer in truth,meshuggah
anything goes,randy houser
throw out the line,38 special
annie waits,ben folds
better than that,govana
can you see me,jimi hendrix
not with haste,mumford & sons
look what thoughts will do,lefty frizzell
afternoon delight,starland vocal band
can't sleep this night,john mayall
"top hat, white tie and tales",mel tormé
the more i see you,bobby darin
sweet tears,roy ayers ubiquity
love ain't no stranger,whitesnake
all we ever do is say goodbye,john mayer
the world i know,collective soul
you're still on my mind,the byrds
injection,rise against
theatre is the life of you,minutemen
there's no one else,robben ford
first shot missed him,mississippi john hurt
oh beautiful!,joe bonamassa
johnny law,wayne hancock
don't toss us away,patty loveless
easy to slip,little feat
let them burn,hours eastly
i can't even drink it away,charlie rich
i don't wanna talk about it,indigo girls
dream a little dream,dean martin
stand by me,john lennon
no problem,lil scrappy
the world is waiting for the sunrise,les paul
how can you mend a broken heart,bee gees
somebody got murdered,the clash
one step closer to you,michael franti & spearhead
be yourself,audioslave
crua chan,sumo
spit,kittie
figure numatic,nubiyan twist
all night,echo movement
happy man,chicago
once in a very blue moon,nanci griffith
if you belonged to me,traveling wilburys
summer fever,donna summer
towering fool,gov't mule
"a quick one, while he's away",the who
she used to be somebody's baby,larry gatlin & the gatlin brothers
now that we're dead,metallica
it's probably me,sting
stand,r.e.m.
late in the night,heartless bastards
mr. wendal,arrested development
go seek your rights,mighty diamonds
hurts don't it,daryle singletary
i love you a thousand ways,lefty frizzell
what i learned from loving you,kenny rogers
war,the gladiators
don't ask me why,elvis presley
shine,das efx
call it what you want to (it's still love),conway twitty
silent witness,ub40
there is no end,the abyssinians
faith works,soja
let's talk about sex,salt-n-pepa
cry stampede,marty robbins
in here,the magpie salute
he's a tramp,melody gardot
puppy tail,demarco
this what i call her,lil wayne
hard for,kevin gates
intro,todd rundgren
do you hear what i hear?,bing crosby
humble.,kendrick lamar
hero,nas
assimilate,skinny puppy
a fine romance,ella fitzgerald
little bitty heart,claude king
in the morning of the magicians,the flaming lips
the fighter,keith urban
who to love?,romare
superstar punani,sublime
the mystery of the mystery,dolly parton
the bright side,dave koz
hey you,the pharcyde
the sweetest pain,dexter wansel
i can't hold back,survivor
the way it was,the killers
black man ray,china crisis
pal’ río tanamá,cultura profética
oh my goodness ft. big steve,spawnbreezie
holy cow,lee dorsey
the right time,ray charles
bob wills is still the king,waylon jennings
i've lived a lot in my time,jim reeves
i concentrate on you,ella fitzgerald
true love,al green
you're sixteen,johnny burnette
"tall, tall trees",alan jackson
magic party,ted nugent
i don't really mind,tame impala
hold on my heart,bad company
close to you,muddy waters
driving home for christmas,chris rea
down with disease,phish
elsewhere,sarah mclachlan
if i ruled the world,tony bennett
tamatant tilay,tinariwen
drunk on love,basia
you'll always be the one i love,dean martin
face to the floor,chevelle
how long,pat kelly
it's so easy falling,manfred mann
between angels and insects,papa roach
within you,david bowie
hang your head in shame,carl smith
i've got you under my skin,shirley bassey
balcony,lester nowhere
ready to burn,krokus
come back to bed,john mayer
cochise,audioslave
more than a feeling,boston
no you don't,sweet
amazing,aerosmith
undercover lover (feat. gonzo),tribal seeds
sanity,bad religion
thanksgiving theme,vince guaraldi trio
macrowave,suff daddy
baby,firefall
waiting for my real life to begin,colin hay
eli's coming,three dog night
the search,del shannon
like a hurricane,the jeff healey band
perfect government,nofx
tomorrow doesn't matter tonight,starship
heart attack,demi lovato
it's a blue world,ella fitzgerald
louisiana blues,muddy waters
inspector mills,america
drift away,the expendables
sweets for my sweet,the searchers
love never broke anyone's heart,vince gill
my god,jethro tull
wilson,phish
from what we give,tracy lawrence
he must have really hurt you bad,george strait
deep inside,incubus
with a child's heart,michael jackson
long stick goes boom,krokus
exposed,charlie farley
lonesome and a long way from home,eric clapton
veins,blue öyster cult
get ur freak on,missy elliott
black coffee,black flag
please come home for christmas,eagles
boss's daughter,pop evil
leave it,yes
love isn't easy (but it sure is hard enough),abba
space jam,jerry garcia
still right here in my heart,pure prairie league
i knew i loved you,savage garden
amen (feat. drake),meek mill
one drop of truth,the wood brothers
gold digger,epmd
give it away,johnny cash
window,magic giant
runnin' away,ambrosia
blondie,current joys
rain is falling,electric light orchestra
lost in love,new edition
x men,lil yachty
if i had a hammer,"peter, paul and mary"
alive and well,tammy wynette
going home,alice cooper
how i wanted to,richard thompson
she's pulling me back again,mickey gilley
don't forget me (when i'm gone),glass tiger
night and day,stan getz
i fell in love,susan tedeschi
straight outta cold beer,blake shelton
let him try,alton ellis
turn my head,live
all that you dream,little feat
romeo had juliette,lou reed
i've got a crush on you,steve tyrell
love is strange,buddy holly
may this be love,jimi hendrix
while i'm waiting,steve miller band
in my feelings,drake
don't you know,one drop
muskrat,the everly brothers
the city,al green
city of angels,the miracles
don't start me talking,john hammond
adventures in paradise,minnie riperton
true colors,the weeknd
stay,post malone
drinking too much,james leg
colors,grace potter & the nocturnals
a fine romance,stacey kent
it don't mean a thing (if it ain't got that swing),tony bennett
goin' to acapulco,bob dylan
voices,godsmack
two winters long,irma thomas
lily of the west,bob dylan
i'll have to make some changes,marty robbins
dull gold heart,band of skulls
supermassive black hole,muse
seminole wind,john anderson
you're my favorite song,demi lovato
i like to move it,will.i.am
i'm not awake yet,rory gallagher
dead man's curve,jan & dean
"oh, yes, oh!",the kingston trio
superposition,daniel caesar
sugar cane,jeff beck
angels (live in studio),katastro
left handed cigarettes,radioinactive
the prodigal sun,the black angels
midsummer madness,88rising
life by the drop,doyle bramhall
(gotta get a) meal ticket,elton john
watchdogs,ub40
nobody else but me,joe pass
bang your head (metal health),quiet riot
love is alive,louis the child
habits of my heart,jaymes young
tower of babel,elton john
the promise of a new day,paula abdul
mercy,wire
into the sun,grand funk railroad
she never lets it go to her heart,tim mcgraw
i don’t wanna die,hollywood undead
every night is friday night (without you),old 97's
vanishing,a perfect circle
why'd you lie?,colin james
high priestess,uriah heep
big fool,ronnie self
monstrocity,meshuggah
country boyz,nappy roots
whatever lola wants (lola gets),sarah vaughan
of matter,tesseract
foolin' around,waylon jennings
too much attention,gilbert o'sullivan
need your love,gary bartz
take it off,joe nichols
old before my time,the allman brothers band
the secret place,phil wickham
grey cell green,ned's atomic dustbin
cocoon,milky chance
get my party on,shaggy
breaking the rules,ac/dc
love affairs,michael martin murphey
keep on dreamin',alabama
"right place, right time",denise lasalle
do the stevie,j-kwon
call me animal,mc5
hallelujah i'm ready,ricky skaggs
settin' the woods on fire,the tractors
bet mi money,vybz kartel
things i cannot change,the mavericks
immune,godsmack
surf tune,mike pinto
no stoppin' us now,the doobie brothers
give it all,rise against
grey matter,oingo boingo
bad decisions,bumpin uglies
in my lonely room,the action
people of the sun,rage against the machine
when the devil calls,blues saraceno
walk on,billy currington
st. joseph's,the avett brothers
thick as thieves,the jam
play it cool,brand nubian
walking the floor over you,asleep at the wheel
my own life,long beach dub allstars
real situation,bob marley & the wailers
parallax,between the buried and me
bardis,snarky puppy
gringo,the ventures
i cried a tear,lavern baker
wind-up toy,alice cooper
castle,halsey
a walk through hell,say anything
making amends,g. love & special sauce
the e.n.d.,the pharcyde
but not for me,ella fitzgerald
runaway,aurora
piece by piece,kelly clarkson
this is how we do it,montell jordan
i'll walk alone,dinah shore
pledging my love,david allan coe
citizen radio,egypt central
devil or angel,the clovers
ichokratoria zontana (soundacracy),eisvoleas
